sample_id,sentence,dict_label,ensemble_majority
S0119,包钢生态工业园区和包头铝业产业园区等生态示范园区建设步伐加快，南郊污水处理厂、新创瑞图粉煤灰利用等一批循环经济项目先后实施，污水、粉煤灰再利用水平明显提高,mixed,functional
S0036,深入打好蓝天碧水净土保卫战,irrelevant,irrelevant
S0318,"提升污水处理能力,新建扩建污水处理项目8个,提标改造污水厂5个",functional,functional
S0123,城乡人居环境建设和城市形象塑造取得新成就，荣获联合国人居奖和2002年迪拜国际改善居住环境最佳范例称号,visible,visible
S0134,扎实做好中央环保督察反馈问题和自治区生态环境移交问题等整改工作，推动城市生活污水集中收集率提升到30%以上,functional,functional
S0424,探索开发长租公寓、共有产权住房，落实“租购同权”輦輯訛，培育住房租赁企业，新开工改造棚户区20280套，加快建立多主体供给、多渠道保障、租购并举的住房制度,functional,tie
S0083,迅速恢复水、电、气、路、通讯等设施,irrelevant,mixed
S0302,伊滨区要重点加快路网建设，基本建成水电气暖、污水处理等基础设施，伊滨公园、中央商务区、行政副中心、中央轴带、撤村并城小区、职教园区等重点区域和重点项目要有明显的形象进度,mixed,mixed
S0088,继续改造提升主城区功能，完成了天井湖西湖驳岸整治、城东路路面改造和观湖广场玉带河三期工程，改造了铜陵长江大桥南引道和南大门环境，修建了笔架山广场人行天桥，整治了一批支次道路，天然气置换改造基本完成，城市园林景观建设取得新进展,mixed,mixed
S0488,村庄示范整治等工程扎实推进，33个渔农村社区达到全面小康标准，完成了70个村庄整治、29个村污水治理、20个渔农村小菜场改造任务，实施农房改造8899户、渔农村危旧房改造550户，新增卫生改厕1.23万户、污水治理农户2.9万户、安全饮用水人口2.38万人、通村联网公路88.6公里，城乡公交一体化步伐加快，群众生产生活条件进一步改善,mixed,mixed
S0346,深入实施“十百千万”工程，继续抓好嵊泗中心渔港扩建、大衢渔港等工程，加快建设渔港经济区，建成万亩生态高效养殖示范基地,visible,visible
S0269,企业养老保险实现市级统筹,irrelevant,irrelevant
S0028,全民健身活动广泛开展，竞技体育水平进一步提升，成功举办奥运圣火传递活动、省运会和市运会,irrelevant,irrelevant
S0250,深入开展“美丽玉林·清洁乡村”活动，全面启动生态乡村建设，完成103个农村环境连片整治项目，新建农村污水管网207公里、垃圾处理设施459套、沼气池1.9万座，造林绿化27万亩，城乡生态环境明显改善,mixed,mixed
S0440,"加快           3 个省级国际服务外包示范园区建设，
推动数据灾备应急、生物医药研发等产业加快发展",mixed,irrelevant
S0300,整合南部沿江发展空间，加紧展开承接产业转移集中区建设相关工作，精心打造若干特色园区，力争在示范区建设中发挥先导作用,visible,irrelevant
S0370,实施滏阳河清淤、西北外环拓宽等基础设施项目，启动建市以来最大规模排水系统改造，被评为全省雨污分流示范城市,mixed,mixed
S0206,做好运力需求对接和天然气供应保障，启动仁寿——乐山天然气主管线建设和沙湾火车站二期改造工程,functional,mixed
S0209,市区框架进一步拉大，功能更趋完善，城镇绿化覆盖率、生活垃圾无害化处理率、集中供热普及率、燃气使用普及率大幅提升,mixed,mixed
S0196,加强自然灾害、事故灾难、公共卫生事件和社会安全事件的预测预警设施建设，建立健全应急管理体系,functional,irrelevant
S0301,大力推进环巢湖生态示范区一期项目建设，积极谋划二期项目，重点实施现有污水处理厂提标改造和国家规划的环湖污水处理厂建设，同步推进配套的400公里管网建设,mixed,functional
S0151,24678户城乡居民受损房屋全部完成修缮加固，1914户自建住房全部竣工，974户进行货币化安置，7个集中安置区1866户安置房全部开工建设,functional,tie
S0042,推进左江沿岸防洪综合整治工程、龙峡山森林公园、水口湖生态湿地公园、石景林旅游名胜风景区建设，做好山水园林城市的文章,mixed,mixed
S0378,稳定扩大传统消费，培育壮大新型消费，打造“苏州购物”品牌，争创全国放心消费示范城市,visible,irrelevant
S0303,要把国家小微企业创业创新基地城市示范作为民营经济发展的强大动力，推动“大众创业、万众创新”，打造我市“众创”发展的新形态，激发内生增长的新动力，形成内源发展的新方式,visible,irrelevant
S0266,完善农村亮化、绿化、道路等基础设施，修缮三镇水利设施，实施人饮输配管网改造工程,mixed,mixed
S0386,三是关心帮助农村特困群众生活，为6.45万农村低保对象年人均补助360元，为1.3万农村五保对象按标施保,irrelevant,irrelevant
S0207,加强与珠三角、港澳地区在旅游项目投资、客源市场拓展、无障碍旅游设立、旅游信息交流等方面的合作，重点推进国际（中国·佛冈）健康养生旅游示范基地建设，做大生态休闲、民族风情特色旅游品牌,mixed,irrelevant
S0029,新农村建设步伐不断加快，累计投入资金17.3亿元，集中打造12个精品片区，形成美丽乡村建设“四平模式”,visible,irrelevant
S0062,打造“人才特区”,irrelevant,irrelevant
S0233,社会主义新农村建设试点全面启动，市、县区、乡镇财政安排专项资金1600多万元，整合支农资金2亿多元，吸纳社会资金500多万元，投入新农村建设，农村面貌发生可喜变化,visible,irrelevant
S0010,高效利用城市角落，打造中心城区“微景观”“口袋公园”10处,visible,visible
S0449,相城区被评为全国中医药特色社区服务示范区,visible,irrelevant
S0049,孟连（勐阿）边合区建设稳步推进，建成2个边民互市交易市场,irrelevant,irrelevant
S0348,加强饮用水水源地保护区规范化建设,irrelevant,functional
S0358,把农林水利、“四绿”工程、城镇美化、造福工程、饮水安全、防灾减灾、旅游等领域的项目纳入战役统筹实施,mixed,mixed
S0136,对城市供热、清冰雪、环卫、绿化等公用事业进行市场化改革,mixed,mixed
S0497,深入打好碧水保卫战，推进城市水污染、饮用水源地、工业废水等整治，实施市第三污水处理厂、中卫工业园区水资源综合利用等项目，黄河流域中卫段国控断面水质达到或优于考核目标,functional,functional
S0468,扩大城市供气规模，新安装天然气居民用户1.2万户,functional,functional
S0194,加速城市道路、公交、污水处理厂、垃圾处理厂、天然气等公共设施建设，全力改善城区交通拥堵状况，注重开发利用城市地下空间，推进“三网融合”，建设“数字十堰”，力争建成全国文明城市、国家卫生城市、国家环保模范城市,mixed,mixed
S0445,对能耗、物耗、水耗高和污染排放严重的重点企业强制实施技术改造，对年排水量30万吨以上企业实施废水“零排放”工程，对高污染行业实施全行业清洁生产强制审核,functional,tie
S0372,当前和今后一个时期，我国就业总量压力不减、结构性矛盾凸显，新的影响因素还在增加，必须把就业摆在更加突出位置,irrelevant,irrelevant
S0404,建筑领域绿色转型取得重要进展，建筑节能改造82.5万平方米，获得第一批“国家可再生能源建筑应用示范城市”荣誉，争取到国家每年1.6亿元的资金支持,mixed,tie
S0496,开展乡村振兴“十个一”示范创建，分阶段创建26个示范镇、120个示范村、20个重点帮扶村，支持淳化建设省级乡村振兴重点帮扶县、礼泉建设省级乡村振兴示范县,visible,irrelevant
S0086,顺利通过国家园林城市第三次复查,visible,visible
S0283,2010年，全市争取建立10个1000亩以上的城郊农业示范区,visible,irrelevant
S0485,深入开展相对集中行政许可权改革试点工作，选择部分县级市、开发区和经济发达镇推广苏州工业园区集中审批试点经验，筹建市级行政审批局,irrelevant,irrelevant
S0415,让我们高举习近平新时代中国特色社会主义思想伟大旗帜，在省委、省政府和市委的坚强领导下，砥砺初心使命，接续拼搏实干，奋进新征程，携手向未来，努力为南阳发展书写更多精彩、留下更多印记，勇毅向着“建强副中心，奔向新辉煌”的宏伟目标迈进，为建设现代化河南、实现中原更加出彩贡献南阳智慧和力量,irrelevant,irrelevant
S0033,"加强殡葬管理,强化土地、矿产、林业资源的开发和保护,启动黄荆山开山塘口复垦绿化工作,搞好地质灾害防治",visible,mixed
S0006,坚持城乡统筹发展，积极推进美丽宜居乡村建设，继续完善农牧区供排水、农田水利等基础设施，建设安居富民住房1万户、农村公路95公里，不断改善农村面貌和农牧民生产生活条件,mixed,mixed
S0145,进一步提升应急处置能力,functional,irrelevant
S0471,抓好煤气主管网复线工程和集中供热二期工程建设，搞好市区主要街道建筑物的穿靴戴帽工程和主要街区、高层建筑的亮化工程,mixed,mixed
S0135,突出抓好农田水利和人饮安全项目建设，完成病险水库除险加固任务,functional,functional
S0305,围绕农业产业开发和企业技 术改造，着力抓好农业科技示范园建设和新技术、新品种的 引进、推广,visible,irrelevant
S0169,加强农田水利设施建设，完成56座病险水库除险加固工程，抓好大型灌区续建配套和节水改造、重点中小流域治理，加强粮食主产区末级渠系建设,functional,functional
S0294,深入开展国家和省市试点示范县、示范镇创建，加快东营港城建设，加强棚户区、城中村、城边村和危房改造，推进城镇一体化管理,mixed,mixed
S0368,“互联网+城乡供水”经验在联合国水大会上交流，西吉荣获国家水土保持示范县，隆德渝河治理入选全国第二批美丽河湖优秀案例，六盘山自然保护区被命名为首批全国林草科普基地,mixed,tie
S0027,认真做好赣江大桥、章江大桥和游泳馆、射击馆、博物馆建设的前期准备工作，加快青少年活动中心、市接待中心、市政中心北区、市传染病医院、“123”工程、污水处理、红旗大道延伸、宋城公园完善、廉租房和经济适用房及三中新校区等工程的建设,functional,mixed
S0092,落实省沿江地区转型发展五年推进计划，推动市区等重点区域整合、集聚、提升，加快产业梯度布局和转移,irrelevant,irrelevant
S0015,城市综合信用指数居全国261个地级市第四位,irrelevant,irrelevant
S0219,人民防空工作扎实推进，应急管理体系建设进一步加强,functional,irrelevant
S0439,围绕构建与产业发展相适应的生产服务体系，大力发展现代物流、科技信息、通讯网络、商务金融等生产服务业,irrelevant,irrelevant
S0421,完善文化遗产保护机制，开展第三次文物普查，提高文物展示、交流和利用效率,visible,irrelevant
S0131,加强信息基础设施建设，推进“全光网南阳”全面升级，完成“宽带中国”示范城市建设任务,visible,tie
S0021,建设特色经济示范区,visible,irrelevant
S0280,推进市交通指挥大数据中心等项目，建成一批智慧城市新样板,visible,irrelevant
S0359,我省加快推 行“四化两型”战略 ，加大对包括我市在内的大湘西地区的开发扶持力度,irrelevant,irrelevant
S0311,加大全国文明城市创建力度，国家森林城市动态监测通过复查验收，上榜2019中国百强品牌城市,visible,irrelevant
S0228,各项社会事业全面协调发展,irrelevant,irrelevant
S0308,生态水系和水源工程进展加快，西流湖污水治理初见成效，龙湖调蓄工程建成蓄水,functional,functional
S0299,特色农业产值占一产比重超过87%，全省中药材“十强县”我市独占四席，灵宝苹果获批国家首批现代农业全产业链标准化示范基地,visible,irrelevant
S0160,加强无公害农产品、绿色食品、有机农产品的产地认定、申报认证和农产品质量安全检测工作,functional,irrelevant
S0462,牢固树立安全发展理念， 强化底线意识、红线意识和忧患意识，严格落实安全生产责任制，加强安全生产工作考核权重，突出抓好煤矿、道路交通、消防安全、食品药品等领域和行业的大排查、大整治、大防范，从严管控、从严处罚、从严追究，做到“全覆盖、零容忍、严执法、重实效”， 确保安全生产形势稳定向好,functional,irrelevant
S0481,改造老旧供热管网61公里，全市集中供热能力达到2480万平方米,functional,functional
S0349,主城区启动实施33条断头路畅通工程，重点打造“四横四纵一外环”高品质路网和11个精品片区，整治提标100条小街巷，深度治理、全面提升368个改造不彻底老旧小区，新增城市供热能力2000万平方米，对各类广告和标语统一规范管理，增设停车位2.5万个，实施龙湖公园、滏阳河两侧照明设施改造提升，打造4个出入市口夜景新地标，建设高品质现代化中心城区,mixed,mixed
S0389,加强对非典、禽流感疫情传播的防控力度，健全公共卫生事件应急处理机制、疾病预防控制体系和卫生执法监督体系，建立各种突发公共卫生事件预警和报告系统,functional,irrelevant
S0489,沧化集团液体化学品码头、沧州运东污水处理厂等56个投资1000万元以上的新开工项目按期开工建设,functional,functional
S0342,成源要实现年销售收入20亿元以上,irrelevant,irrelevant
S0172,抓好黄山区、徽州区2个省级现代农业示范区建设,visible,irrelevant
S0106,新改建农村公路262公里，农村供水规模化率80%，行政村5G通达率74%，建设乡村振兴齐鲁样板省级示范区4个，新增省级和美乡村26个，沂源县获评国家乡村振兴示范县、全省高质量发展先进县，“乡村振兴齐鲁论坛2023”在我市成功举办,mixed,mixed
S0281,多措并举激发消费潜力,irrelevant,irrelevant
S0252,加快以水利为重点的农业基础设施建设，健全自然灾害防控体系，增强防灾减灾能力,functional,functional
S0275,抓好重点水库、堤防的除险加固和小型水利设施的整修，全面提升防御自然灾害的能力,functional,functional
S0413,积极开展农村生活污水、垃圾等专项整治，建成美丽村庄150个,mixed,tie
S0326,实施“文化信息资源共享工程”，改造影剧院等文化设施,irrelevant,visible
S0500,大力开展“南粤水更清”行动，加强中型水库水质管理和控制，规划建设中心镇污水处理设施，开展沿河排污企业整治，保护水源水质,functional,functional
S0186,积极创建全国科技进步先进市和国家知识产权示范城市,visible,irrelevant
S0185,通过持续不懈地开展文明创建活动，促进城乡文明程度进一步提升，力争“十一五”末把我市创建成为全国文明城市,visible,irrelevant
S0409,大力加强农田水利基本建设，抓好大中型灌区续建、末级渠系配套和排涝设施建设，加快中低产田改造，抓好高标准粮田和万亩高产创建示范区建设，增强粮食综合生产能力,mixed,functional
S0053,积极推动新区水环境综合整治、新区园林景观环境、市政道路交通、给排水及环卫等基础设施建设,mixed,mixed
S0319,在国家、省委省政府和省直各部门的大力支持下，市委统揽全局，政府、企业、市民并肩携手，共克时艰，形成了全市上下一盘棋，共渡难关保增长的强大合力,irrelevant,irrelevant
S0312,规划建设沿江防护林，启动建设江心洲湿地生态区，尽快实现沿江地区污水集中达标排放，打造沿江绿色工业走廊和生态景观走廊,mixed,mixed
S0216,对基层、企业、群众的合理诉求，要带着感情、带着责任，依法办、设法办、快速办,irrelevant,irrelevant
S0043,结合市“十三五”规划编制，谋划和申报了一批事关全市经济社会发展全局的重大项目,irrelevant,irrelevant
S0296,院士工作站力争再翻一番,irrelevant,irrelevant
S0137,持续开展“四比”活动和产业项目督导，狠抓落地开工、达产达效、园区提升和招商融资，新开工大基医疗健康示范基地、霖润天然纤维素等亿元以上产业项目113个、比上年增加28个,visible,irrelevant
S0289,集聚资源要素，把高新区、市城乡一体化示范区、产业集聚区培育成为科技创新的主阵地,visible,irrelevant
S0162,我们必须坚持发展第一要务不动摇，把加快发展作为最大的政治、最硬的道理、最紧迫的任务，一心一意谋发展，聚精会神搞建设，全心全意惠民生，尽心尽力促和谐，绝不辜负全市人民的期望和重托,irrelevant,irrelevant
