sample_id,city,year,stratum,sentence,dict_visible_hits,dict_functional_hits,dict_label,coder1 (visible | functional | mixed | irrelevant),coder2 (visible | functional | mixed | irrelevant),adjudicated,notes
S0023,上饶市,2008,functional:early,继续抓好灌溉排涝工程建设，确保锣鼓山电排站、姚坊泵站更新改造在汛期前完工,0,1,functional,,,,
S0024,宿州市,2022,visible:late,蓝天、碧水、净土三大保卫战火力全开，PM2.5平均浓度下降42%，空气优良率达79%，获评全国首批黑臭水体治理示范城市,1,0,visible,,,,
S0025,洛阳市,2010,visible:early,积极创建全国文明城市，加大硬件投入，加快科技馆、群艺馆、青少年活动中心建设，提升档案馆建设管理水平，力争文明城市测评取得新突破,2,0,visible,,,,
S0026,张家口市,2024,functional:late,深化“找差距、找问题、找短板”，进一步完善政府重点工作专班责任制，建立一周工作落实专报、经济运行分行业调度机制，全市上下事不避难、主动认领的责任意识持续强化，勇于担当、攻坚克难的奋斗激情不断提振,0,1,functional,,,,
S0027,赣州市,2005,functional:early,认真做好赣江大桥、章江大桥和游泳馆、射击馆、博物馆建设的前期准备工作，加快青少年活动中心、市接待中心、市政中心北区、市传染病医院、“123”工程、污水处理、红旗大道延伸、宋城公园完善、廉租房和经济适用房及三中新校区等工程的建设,0,1,functional,,,,
S0028,湘潭市,2013,none:late,全民健身活动广泛开展，竞技体育水平进一步提升，成功举办奥运圣火传递活动、省运会和市运会,0,0,irrelevant,,,,
S0029,四平市,2017,visible:late,新农村建设步伐不断加快，累计投入资金17.3亿元，集中打造12个精品片区，形成美丽乡村建设“四平模式”,1,0,visible,,,,
S0030,漳州市,2020,none:late,严格落实河（湖）长制，突出抓好小流域综合治理，深化城市黑臭水体治理，确保长制久清比例90%以上,0,0,irrelevant,,,,
S0031,金昌市,2004,none:early,必须牢固树立抓项目就是抓经济，抓项目就是抓发展的意识，广泛深入地开展项目建设年活动，努力构筑抓项目、兴产业、谋发展的长效机制，以项目建设带动经济社会各项事业快速健康发展,0,0,irrelevant,,,,
S0032,延安市,2020,functional:late,加快推进市政基础设施建管运维一体化，增强供水、供热、供气保障能力,0,2,functional,,,,
S0033,黄石市,2003,visible:early,"加强殡葬管理,强化土地、矿产、林业资源的开发和保护,启动黄荆山开山塘口复垦绿化工作,搞好地质灾害防治",1,0,visible,,,,
S0034,达州市,2010,functional:early,大力发展天然气能源化工产业，加快实施一批天然气精细化工、磷硫化工产业项目，壮大百亿产业集群,0,2,functional,,,,
S0035,南宁市,2017,none:late,推进落实“十三五”文化产业发展规划，发展“一带两区三组团”文化产业新格局，培育特色文化产业集聚区,0,0,irrelevant,,,,
S0036,济南市,2024,none:late,深入打好蓝天碧水净土保卫战,0,0,irrelevant,,,,
S0037,汕尾市,2015,none:late,深化民生财政保障制度改革，加大财政保障基本公共服务投入,0,0,irrelevant,,,,
S0038,广元市,2017,visible:late,大力推行PPP模式，签约入库项目5个、总投资36.36亿元，入选国家第三批示范项目2个，个数居全省第2位,1,0,visible,,,,
S0039,鹤壁市,2020,visible:late,建立健全衡量高质量发展的指标体系、政策体系、标准体系、统计体系、绩效评价、政绩考核，积极承接试行推动高质量发展的现代化制度体系，初步形成推动高质量发展的体制机制，确保全省高质量发展体制机制示范区创建取得阶段性成效,1,0,visible,,,,
S0040,临沧市,2017,mixed:late,完成城镇棚户区改造4242户，加快城镇保障性住房、地下综合管廊、海绵城市、智慧城市建设，完成市级城市规划馆建设，开工市委党校搬迁项目，启动亚微展示中心建设,1,1,mixed,,,,
S0041,玉溪市,2008,none:early,加强与金融部门的协调联系，加快融资担保体系和诚信体系建设，健全财政、金融互补互动机制，以重大项目、优质项目吸引金融资金,0,0,irrelevant,,,,
S0042,崇左市,2012,mixed:early,推进左江沿岸防洪综合整治工程、龙峡山森林公园、水口湖生态湿地公园、石景林旅游名胜风景区建设，做好山水园林城市的文章,1,1,mixed,,,,
S0043,上饶市,2017,none:late,结合市“十三五”规划编制，谋划和申报了一批事关全市经济社会发展全局的重大项目,0,0,irrelevant,,,,
S0044,丹东市,2013,functional:late,继续推进金山热电集中供热联网工程，不断提高供暖服务质量,0,2,functional,,,,
S0045,黄冈市,2013,none:late,推动“四城联创”，实施“城管会战”，城市管理水平显著提高,0,0,irrelevant,,,,
S0046,桂林市,2011,visible:early,建设体育文化特色消费示范区，重点推进叠彩城北滨江区以站前广场为节点、漓江两岸为轴带的文化、休闲、体育项目建设,1,0,visible,,,,
S0047,固原市,2018,none:late,建成原州区、彭阳县2个全民健身中心，开工建设市体育场和隆德县文化馆,0,0,irrelevant,,,,
S0048,佳木斯市,2010,functional:early,对北、西、南、东四个出口和滨江路的道路及沿线的棚户区、建筑物、基础设施进行全线整体改造升级,0,1,functional,,,,
S0049,普洱市,2019,none:late,孟连（勐阿）边合区建设稳步推进，建成2个边民互市交易市场,0,0,irrelevant,,,,
S0050,玉溪市,2021,visible:late,加快数字社会建设，实施应用场景开放拓展和数据共享开放行动，在社会治理、公共服务、环境保护等领域打造一批示范应用，推进数字社区、数字小区建设，大力推广“刷脸就行”,1,0,visible,,,,
S0051,郑州市,2011,functional:early,开工建设了一大批道路桥梁工程，水电气暖保障能力明显提升，污水处理和垃圾处理设施不断完善,0,1,functional,,,,
S0052,晋中市,2019,visible:late,社会事业全面进步，成功创建国家公共文化服务体系示范区，市级“五馆一院”和县级“两馆一院”全部建成并免费开放，全民健身活动广泛开展,1,0,visible,,,,
S0053,桂林市,2009,mixed:early,积极推动新区水环境综合整治、新区园林景观环境、市政道路交通、给排水及环卫等基础设施建设,1,1,mixed,,,,
S0054,常州市,2018,visible:late,2.彰显江南水乡风貌,1,0,visible,,,,
S0055,丽水市,2006,functional:early,完成山塘水库除险加固104座、河道整治256公里，建成城市防洪堤108公里，丽水市区和松阳、云和、景宁三县城区防洪标准达到50年一遇，其他县(市)城区防洪标准也已达到20年一遇,0,4,functional,,,,
S0056,珠海市,2011,none:early,加强机关作风建设，民主评议政风行风活动深入开展，坚决纠正损害群众利益的不正之风,0,0,irrelevant,,,,
S0057,亳州市,2020,functional:late,“两治三改”专项行动顺利推进，新开工棚户区改造项目2.9万套、基本建成1.8万套，改造老旧小区6个，22条道路雨污分流改造和24处易涝点整治全面完成，数字化城管水平进一步提高,0,2,functional,,,,
S0058,东营市,2020,functional:late,（10）加强食品安全检测体系建设，对全市农产品批发市场、农贸市场、大中型商场超市、大型食堂进行食品快速检测,0,2,functional,,,,
S0059,威海市,2007,functional:early,加强机动车尾气、噪音污染的专项治理，完成威海热电厂等7家企业的二氧化硫污染治理任务，抓好市第二污水处理厂和各工业园区的小型污水处理设施建设，完成艾山垃圾厂固体废弃物综合处理利用工程，城市污水集中处理率提高1个百分点,0,3,functional,,,,
S0060,乌鲁木齐市,2022,none:late,推动优质医疗资源扩容和均衡布局，推进市第八人民医院建设，建成口腔医院新院，积极促进中医药传承创新发展,0,0,irrelevant,,,,
S0061,中卫市,2011,none:early,实施中央财政小农水重点县配套节水、农业综合开发中低产田改造项目，改善9.3万亩农田灌排条件,0,0,irrelevant,,,,
S0062,镇江市,2013,none:late,打造“人才特区”,0,0,irrelevant,,,,
S0063,阳江市,2012,visible:early,到2016年，市区建成区面积达到57平方公里，力争创建成为国家环保模范城、国家园林城市和国家卫生城市,1,0,visible,,,,
S0064,兰州市,2006,visible:early,"突出""丝路重镇、黄河明珠、山水名城、水车之都""的特色，充分体现黄河文化、丝路文化和民族文化的内涵，不断提升城市品位和形象",1,0,visible,,,,
S0065,晋中市,2024,visible:late,建设中医药强市，支持创建国家级中医药工作示范县和医养结合示范县,2,0,visible,,,,
S0066,内江市,2010,visible:early,采取增发加班工资、奖励补贴等激励措施，力促重点项目和重大工程不停工，有效促成投资30亿元的白马60万千瓦循环流化床示范电站、投资32亿元的西南再生资源产业基地等一批具有重大带动性、支撑性的项目启动实施,1,0,visible,,,,
S0067,台州市,2009,mixed:early,"加强中心城市建设和功能培育，城区路网建设取得突破性进展，中心大道、市府大道西延段全线贯通，中央公园、西商务区动工建设，椒江解放南路、黄岩商业街区、路桥新城等区块形象不断丰满，市区新落成194幢高层建筑，商业中心功能不断增强，市档案馆投入使用，市图书馆、市青少年妇女儿童活动中心主体完工，完成市区19.8公里供水管网改造和27个居民小区“黄水""治理，台州供水二期工程实现通水",1,3,mixed,,,,
S0068,湛江市,2009,none:early,继续改造乡镇薄弱卫生院，基本完成乡镇卫生院信息化建设,0,0,irrelevant,,,,
S0069,四平市,2007,functional:early,实施市区24小时供水改造工程，3万户居民受益,0,1,functional,,,,
S0070,鸡西市,2015,functional:late,争取国开行支持棚户区改造授信额度37.8亿元,0,1,functional,,,,
S0071,中山市,2017,none:late,加快建立专业化住房租赁平台，培育住房租赁市场,0,0,irrelevant,,,,
S0072,铁岭市,2014,visible:late,建设青少年素质教育基地，推动学校对外交流与合作，推进铁岭师专升本，支持辽宁职业学院创建国家示范性高职院校,1,0,visible,,,,
S0073,聊城市,2010,functional:early,三是农村通自来水工程,0,1,functional,,,,
S0074,湖州市,2011,none:early,"《纲要（草案）》
提出，今后五年全市地区生产总值年均增长                  10%以上，这既考虑了


                           25
外部环境变化和发展基数增大的因素，更重要的是引导各方面把精
力和重点放在调整和优化经济结构、提高经济增长质量和效益上，
努力保持经济平稳较快发展",0,0,irrelevant,,,,
S0075,中卫市,2010,none:early,扩建、技改项目13个，计划投资3亿元，完成投资2.1亿元,0,0,irrelevant,,,,
S0076,防城港市,2005,none:early,发展劳务经济成效显著，新增农村剩余劳动力转移1.27万人,0,0,irrelevant,,,,
S0077,扬州市,2007,none:early,"

集中力量抓好一批大项目",0,0,irrelevant,,,,
S0078,杭州市,2017,functional:late,农村住房改造1.2万户、危房改造1210户,0,1,functional,,,,
S0079,晋中市,2023,visible:late,（六）着力强化晋中国家农高区示范引领，在推进农业农村现代化中打造晋中样板,2,0,visible,,,,
S0080,临沂市,2008,none:early,稳定和完善土地承包关系，规范土地承包经营权流转，鼓励有条件的地方发展适度规模经营,0,0,irrelevant,,,,
S0081,运城市,2007,visible:early,全市完成城市绿化190万平方米，其中中心城市新增90.6万平方米，人均增加两平方米，达到6.2平方米,1,0,visible,,,,
S0082,马鞍山市,2020,visible:late,继续实施城市立面、街区环境整治，推进主次干道“六化”工程及小街小巷改造提升,1,0,visible,,,,
S0083,乐山市,2009,none:early,迅速恢复水、电、气、路、通讯等设施,0,0,irrelevant,,,,
S0084,娄底市,2022,mixed:late,扎实推进“百村美丽、千村整治”工程和“美丽乡村”建设，深入实施农村人居环境整治五年行动计划，加快推动“空心房”综合治理，持续推进农村生活垃圾分类、厕所革命，加快乡镇污水处理厂建设，加强农村水、电、气、通信和物流等基础配套，实施山塘清淤1200口,2,1,mixed,,,,
S0085,桂林市,2017,mixed:late,西城大道提升整治工程、创业大厦和世纪立交节点城市设计、防洪排涝及景观水系工程等重点项目基本完成,1,2,mixed,,,,
S0086,株洲市,2019,visible:late,顺利通过国家园林城市第三次复查,1,0,visible,,,,
S0087,秦皇岛市,2014,visible:late,牢记“两个务必”，坚定理想信念，提振“精气神”，练就“真本事”，锻造“好作风”，务实重行，敢于担当，树形象、聚民心、增合力,1,0,visible,,,,
S0088,铜陵市,2009,mixed:early,继续改造提升主城区功能，完成了天井湖西湖驳岸整治、城东路路面改造和观湖广场玉带河三期工程，改造了铜陵长江大桥南引道和南大门环境，修建了笔架山广场人行天桥，整治了一批支次道路，天然气置换改造基本完成，城市园林景观建设取得新进展,1,1,mixed,,,,
S0089,晋城市,2004,functional:early,全市中小学危房改造基本完成，新建、改扩建农村寄宿制学校40余所,0,1,functional,,,,
S0090,丽水市,2020,visible:late,组织市区周边“找隐患、补短板、破难题”专项排查，针对影响美丽丽水形象的20个问题，推动建立长效管理机制,2,0,visible,,,,
S0091,武威市,2008,visible:early,按照长 远有目标、近期有重点、区域有典型的原则，完善规划，加强 引导，突出特色产业的培育和发展，加快住宅、饮水、道路、 沼气等基础设施建设，努力建设一批生态文明小康示范村和生 态家园富民示范村,2,0,visible,,,,
S0092,南通市,2014,none:late,落实省沿江地区转型发展五年推进计划，推动市区等重点区域整合、集聚、提升，加快产业梯度布局和转移,0,0,irrelevant,,,,
S0093,赤峰市,2010,functional:early,完成中心城区天然气主管道铺设，完善相关配套设施，使2万户居民用上方便、清洁、价廉的管道天然气，力争3年时间，覆盖中心城区70%以上住户,0,2,functional,,,,
S0094,潍坊市,2022,functional:late,"42.“八抓”
　　2021年2月4日省十三届人大五次会议期间，时任省委副书记、省长李干杰同志参加潍坊代表团审议时强调，做好安全生产工作要做到“八抓”，即抓教育培训、抓制度完善、抓苗头隐患、抓日常监督、抓严惩重罚、抓本质安全、抓应急处置、抓社会共治",0,1,functional,,,,
S0095,菏泽市,2022,visible:late,创新食品药品安全治理机制，争创国家食品安全示范城市,1,0,visible,,,,
S0096,丽江市,2012,functional:early,在全国率先编制实施《生态文明建设纲要》，8个县（市、区）成功创建省级生态县，新增国家级生态乡镇18个，基本完成县级污水处理厂、垃圾填埋场和重点污染源在线监控设施,0,1,functional,,,,
S0097,南通市,2015,mixed:late,市区日常饮用水源和应急水源“双水”保供体系基本建成，获批国家水生态文明城市建设试点,1,1,mixed,,,,
S0098,牡丹江市,2007,visible:early,抓住“俄罗斯·中国年”和“2007中韩交流年”的有利契机，在俄罗斯远东地区和韩国首尔、坡州等城市全面宣传展示牡丹江，推动对俄对韩经贸、科教、文体等各领域交流合作，掀起“牡丹江热”,1,0,visible,,,,
S0099,攀枝花市,2024,functional:late,“花城”打造、“复兴炳草岗”行动、“纽扣计划”等一体推进，东华山山地体育公园开园即成“网红”，阿署达花海“天空之镜”主体完工，银江湖南岸生态修复项目“银江沙滩”建成投用、一期滨江栈道加快建设，银江大桥贯通，阳光大道北延线建成通车，龙滩箐隧道开工建设，46个城镇老旧小区改造全面开工，加装既有住宅电梯203部，置换天然气4万户，新建污水管网90公里，仁和“水中央”等3个体育公园项目建成投用,0,4,functional,,,,
S0100,忻州市,2021,functional:late,健全完善应急管理、应急预案、应急演练体系制度，加强应急救援队伍建设，不断提高应急救援能力,0,5,functional,,,,
S0101,萍乡市,2014,visible:late,加大产业扶持和资金筹措力度，最大限度整合农业政策资金，全面铺开5条示范带建设,1,0,visible,,,,
S0102,四平市,2023,visible:late,乡村面貌稳步提升,1,0,visible,,,,
S0103,清远市,2007,visible:early,加快构建民营经济综合服务体系，为民营企业搭建“展示、交流、交易、合作”平台，为民营经济发展创造更加良好的发展环境，不断壮大民营经济,1,0,visible,,,,
S0104,亳州市,2019,none:late,全流程电子招投标比率95.1%，药都网上商城完成交易1.7亿元,0,0,irrelevant,,,,
S0105,泰州市,2011,functional:early,区域供水工程泰兴、姜堰主管网建成，农村饮用水安全工程新增受益人口47.7万人,0,2,functional,,,,
S0106,淄博市,2024,mixed:late,新改建农村公路262公里，农村供水规模化率80%，行政村5G通达率74%，建设乡村振兴齐鲁样板省级示范区4个，新增省级和美乡村26个，沂源县获评国家乡村振兴示范县、全省高质量发展先进县，“乡村振兴齐鲁论坛2023”在我市成功举办,3,1,mixed,,,,
S0107,乐山市,2021,none:late,实施居家养老等七大服务提质行动，支持社会力量提供多元化养老等服务，新增养老服务设施11处,0,0,irrelevant,,,,
S0108,长春市,2004,none:early,做好劳动用工监察和争议处理工作，切实保障劳动者的合法权益,0,0,irrelevant,,,,
S0109,益阳市,2015,functional:late,“整镇整村”推进农村危房改造，完成渔民上岸安居任务,0,1,functional,,,,
S0110,百色市,2011,functional:early,重点是增强煤炭生产和保障能力，加快油气资源勘探和开发，实施城镇燃气管道工程，加快发展火电，深度开发水电，开展核电项目前期研究，加快电网改造升级,0,1,functional,,,,
S0111,中卫市,2010,mixed:early,大力实施以农房改造、环境整治和基础设施建设为主的农村环境综合整治三大工程，加快推进黄河古镇建设，建成规模500-1000户、全部为轻钢结构抗震房的黄河古镇示范点1个，新建塞上农民新居示范点7个，综合整治村庄31个，硬化巷道64公里，铺设排水管道113公里，改造农房5000户,2,2,mixed,,,,
S0112,阜阳市,2018,functional:late,加强应急平台和专业队伍建设，提高应急保障能力,0,2,functional,,,,
S0113,四平市,2012,none:early,进一步加大政策扶持力度，延伸产业链条，发展税源型企业，培育产业集群,0,0,irrelevant,,,,
S0114,汕头市,2015,functional:late,澄海洁源环保发电厂试运营，市雷打石环保电厂、雷打石生活垃圾卫生填埋场扩建工程、潮阳区垃圾焚烧发电厂、潮南区垃圾焚烧发电厂和一批污水处理厂建设取得突破性进展,0,1,functional,,,,
S0115,三门峡市,2019,functional:late,持续完善城市基础设施，加快国道310南移、职业教育园区等重大工程建设，启动国道209、310城区段和高铁南站提升改造工程，完成黄河路等11条城市道路新改建任务，加快推进中心城区“断头路”打通、污水管网等项目建设，进一步提升城市基础承载能力,0,2,functional,,,,
S0116,贵港市,2016,functional:late,加强应急管理工作，公共安全应急和救援能力进一步提升,0,2,functional,,,,
S0117,福州市,2012,visible:early,着力争创中国服务外包示范城市,1,0,visible,,,,
S0118,鹰潭市,2008,none:early,（10）建成环境监控指挥中心,0,0,irrelevant,,,,
S0119,包头市,2008,mixed:early,包钢生态工业园区和包头铝业产业园区等生态示范园区建设步伐加快，南郊污水处理厂、新创瑞图粉煤灰利用等一批循环经济项目先后实施，污水、粉煤灰再利用水平明显提高,1,2,mixed,,,,
S0120,潍坊市,2011,none:early,圆满完成“五五”普法、“四五”依法治市任务,0,0,irrelevant,,,,
S0121,金华市,2014,none:late,推进工商注册便利化，改先证后照为先照后证，改注册资本实缴登记制为认缴登记制,0,0,irrelevant,,,,
S0122,宜宾市,2019,none:late,树牢法治意识，增强政府公信力,0,0,irrelevant,,,,
S0123,包头市,2003,visible:early,城乡人居环境建设和城市形象塑造取得新成就，荣获联合国人居奖和2002年迪拜国际改善居住环境最佳范例称号,1,0,visible,,,,
S0124,鄂州市,2023,functional:late,深入推进安全生产专项整治，加强防灾减灾能力建设,0,1,functional,,,,
S0125,株洲市,2016,visible:late,开展两型标准化建设，积极推进示范创建，总结推广一批两型示范模式,2,0,visible,,,,
S0126,商洛市,2015,visible:late,创建国家循环经济示范城市顺利推进，建成循环示范城市创建项目80个、国家尾矿资源综合利用示范基地项目62个,3,0,visible,,,,
S0127,双鸭山市,2015,functional:late,政府关于安全工作的要求和措施在个别部门和企业没有落实落靠，仍存在诸多安全隐患，个别煤矿安全矿长挂名、驻矿监督员工作顺拐，特别是新久煤矿瓦斯事故的发生，给人民群众的生命财产造成了很大损失,0,1,functional,,,,
S0128,陇南市,2020,functional:late,推进义务教育教师“县管校聘”改革，深化公立医院综合改革，抓好城镇燃气配气价格改革,0,1,functional,,,,
S0129,张家口市,2018,visible:late,坝上四县年内各创建一个示范草原公园和示范牧场,2,0,visible,,,,
S0130,攀枝花市,2012,visible:early,三是以打造四川南向门户为抓手，促进开放发展，融入区域经济,1,0,visible,,,,
S0131,南阳市,2017,visible:late,加强信息基础设施建设，推进“全光网南阳”全面升级，完成“宽带中国”示范城市建设任务,1,0,visible,,,,
S0132,昆明市,2008,visible:early,通过“六大工程”的实施带动，促进经济发展提速，城市形象提升，重点行业突破，社会领域和谐，实现超常规、跨越式发展,1,0,visible,,,,
S0133,丹东市,2015,functional:late,做好金山热电二期工程前期工作，让集中供热惠及更多市民,0,1,functional,,,,
S0134,崇左市,2023,functional:late,扎实做好中央环保督察反馈问题和自治区生态环境移交问题等整改工作，推动城市生活污水集中收集率提升到30%以上,0,1,functional,,,,
S0135,益阳市,2012,functional:early,突出抓好农田水利和人饮安全项目建设，完成病险水库除险加固任务,0,1,functional,,,,
S0136,哈尔滨市,2005,mixed:early,对城市供热、清冰雪、环卫、绿化等公用事业进行市场化改革,1,1,mixed,,,,
S0137,牡丹江市,2018,visible:late,持续开展“四比”活动和产业项目督导，狠抓落地开工、达产达效、园区提升和招商融资，新开工大基医疗健康示范基地、霖润天然纤维素等亿元以上产业项目113个、比上年增加28个,1,0,visible,,,,
S0138,济宁市,2007,visible:early,组织编制京杭运河沿岸概念性规划，及早完成济宁城区城市景观风貌规划，加快编制京沪高铁曲阜站片区等重点区域控制性详细规划，做好一批年度重点项目修建性规划，严格公路沿线、重点景区及城乡结合部等区域规划控制，依法开展集中拆除规划区内违法建筑专项行动,2,0,visible,,,,
S0139,荆门市,2009,functional:early,四是在社会建设和管理方面，深入开展食品、矿山、危化品安全隐患的排查和专项整治，各类事故得到有效遏制,0,1,functional,,,,
S0140,张家界市,2010,functional:early,"突出整治农村污水、畜牧养殖污染，全面启动农村垃圾治理""三年行动计划""，积极推进""五改""工程，不断改善农民生活居住环境",0,1,functional,,,,
S0141,普洱市,2007,visible:early,加强生态示范区、生态乡（镇）和生态村示范建设,2,0,visible,,,,
S0142,宁波市,2022,functional:late,实施“智慧助老”，加强适老化改造，新建一批标准化老年食堂和5A级居家养老服务中心,0,1,functional,,,,
S0143,攀枝花市,2006,functional:early,加大经济适用房建设力度，着力解决棚户区居民住房困难问题,0,1,functional,,,,
S0144,温州市,2010,mixed:early,坚持科学治河、依法治河、全民治河，全面实施《浙江省温瑞塘河保护管理条例》，采取片区污水管网改造、清淤疏浚、生态修复、驳坎绿化等综合措施，进一步消除河道黑臭现象,1,2,mixed,,,,
S0145,南昌市,2010,functional:early,进一步提升应急处置能力,0,1,functional,,,,
S0146,乌兰察布市,2019,none:late,市委、市政府带头树立过“紧日子”思想，压缩市本级“三公”经费367万元,0,0,irrelevant,,,,
S0147,舟山市,2020,functional:late,深化治气工作，做好PM2.5和臭氧浓度“双控双减”工作，推进重点行业VOCs治理，分步建设大气小微站，建立绿色石化营运期监测监管和应急体系，确保空气质量保持全国前三,0,1,functional,,,,
S0148,衡水市,2023,mixed:late,开展城市更新行动，推进市区道路线缆、线杆整治和亮化提升，改造供热老旧管网12公里,1,2,mixed,,,,
S0149,眉山市,2015,functional:late,健全地质灾害防治体系，做好应急、防震减灾、气象、测绘等工作，提升公共安全和防灾救灾减灾能力,0,2,functional,,,,
S0150,合肥市,2011,functional:early,推进“引江济巢”工程建设，加强巢湖水环境综合治理，提升城市污水集中处理率，力争实现全收集、全处理，进一步做好“水文章”,0,1,functional,,,,
S0151,新乡市,2022,functional:late,24678户城乡居民受损房屋全部完成修缮加固，1914户自建住房全部竣工，974户进行货币化安置，7个集中安置区1866户安置房全部开工建设,0,1,functional,,,,
S0152,惠州市,2008,visible:early,合江楼、客家女大型雕塑主体工程完工,1,0,visible,,,,
S0153,台州市,2005,functional:early,到2007年，所有县(市)建成生活污水处理厂和生活垃圾集中处理设施，到2010年基本完成重点流域、重点区域、重点行业和重点企业的环境污染整治,0,1,functional,,,,
S0154,益阳市,2011,none:early,公益性和经营性文化单位改革成效明显,0,0,irrelevant,,,,
S0155,重庆市,2017,visible:late,加快美丽乡村建设，建成100个美丽宜居村庄，实现66.8%行政村生活垃圾治理，完成500个行政村环境连片整治,2,0,visible,,,,
S0156,青岛市,2012,functional:early,新建、改造供水管网100公里、燃气管网230公里，开工10座天然气加气站，市区新增集中供热面积900万平方米,0,6,functional,,,,
S0157,齐齐哈尔市,2010,none:early,深入实施大开放、大招商、大经贸战略，大力发展外向型经济,0,0,irrelevant,,,,
S0158,商洛市,2008,none:early,完善专项资金管理办法，加强转 移支付资金监督管理，坚决查处和纠正违规行 为,0,0,irrelevant,,,,
S0159,张家界市,2023,none:late,预计全年地区生产总值同比增长2%左右，农业总产值、规模工业增加值分别增长3%、0.5%左右，城乡居民人均可支配收入分别增长4.6%、6%左右，地方一般公共预算收入同比下降1.92%左右，社会消费品零售总额增长3%左右,0,0,irrelevant,,,,
S0160,宜春市,2007,functional:early,加强无公害农产品、绿色食品、有机农产品的产地认定、申报认证和农产品质量安全检测工作,0,1,functional,,,,
