sample_id,city,year,stratum,sentence,dict_visible_hits,dict_functional_hits,dict_label,coder1 (visible | functional | mixed | irrelevant),coder2 (visible | functional | mixed | irrelevant),adjudicated,notes,gemini,chatgpt,deepseek,ensemble_majority,n_agree
S0016,通化市,2004,none:early,城市水土保持试点工作通过国家验收,0,0,irrelevant,,,,,irrelevant,functional,irrelevant,irrelevant,2
S0017,景德镇市,2011,none:early,工业项目引进成效斐然，光伏、陶瓷、汽车零部件、家电和LED照明等一大批重大产业项目落户，爱地那非和可利霉素项目将填补我省国家一类新药生产的空白,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0018,滨州市,2011,none:early,积极推动企业上市工作，争取年内2家企业在境内外首发上市,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0019,武汉市,2011,mixed:early,编制实施轨道交通、历史街区、地下空间等一批重大专项规划,1,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0020,焦作市,2015,visible:late,加快城中村和棚户区改造，启动南水北调两侧绿化带及配套设施建设,1,0,visible,,,,,mixed,visible,mixed,mixed,2
S0021,连云港市,2017,visible:late,创成全国绿化模范城市、国家园林城市和国家节水型城市,2,0,visible,,,,,mixed,mixed,visible,mixed,2
S0022,四平市,2020,functional:late,抓好城市地下综合管廊后续建设，用好国家奖补资金，加快管线入廊进程，推动已建成管廊早日投入使用,0,2,functional,,,,,functional,functional,functional,functional,3
S0023,随州市,2020,none:late,"一、2019年工作回顾
  刚刚过去的一年尤为不易，发展成果尤为珍贵",0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0024,定西市,2020,visible:late,积极推进城镇“绿心”建设和全民义务植树、乡村“四旁”绿化，让绿色嵌入城乡各个角落,1,0,visible,,,,,visible,visible,visible,visible,3
S0025,苏州市,2009,none:early,农村集体经济得到较快发展，行政村年均集体收入达到339万元，增长12.3%,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0026,南平市,2006,functional:early,"规模以上农产品加工企业新增76家，笋竹、 畜禽、茶果三大主导产业占农业总产值比重52.2%,比上 年提高0.7个百分点，粮食总产141.3万吨，畜禽总产 39.4万吨，水产总产10.3万吨，烟叶总产2.69万吨.农村 肚础设施建设继续加强，农村公路建设改造1253公里， 松溪具率先实现所有行政村路面硬化,顺昌县、延平区、 邵武市“村村通”水泥路完成70%以上 建成乡村供水点 283个，改善20.5万人饮水条件 ⑻殳农村沼气池4392 口”改谐中低产田血设标处农川4.63万川％村公共服 务进…步改职增聘1628名农比技术员，卿用7懾政附 津贴乡村医生3025名农村丄作机制继续床化完幷集 体林权制度改革力度加大，全市1621个村明晰了产权， 占应改革村的99.3%,成立县乡两级林业服务中心38 家，通过林权证抵押融资2.21亿元出台促进农村劳动 力转移的政策措施，转移农村劳动力3.8万人，其中就地 转移1.8万人
（二）	突出工业有效推进，产业发展明显加快.出台木 竹加工、纺织服装、精细化工、食品加工、电线电缆产业发 展实施意见，推进产业集聚发展健全工业企业协调机 制，促进现有企业技改扩张，附孚、南缆、圣农等-批重点 企业发展加快.全市规模工业产值251.7亿元，增长 18.1%”匕个工业产业集群产值147亿元，占规模工业比 直58.4%",0,1,functional,,,,,mixed,mixed,mixed,mixed,3
S0027,大同市,2020,none:late,"坚持企业和群众说了算,邀请“两代表一委员”参加,对所有政府职能部门实行每半年一次、每年至少两次公开评议和量化打分,奖优罚劣,以此倒逼审批部门自我净化、自我完善、自我革新、自我提高,加快政务服务线上线下标准化建设,完善各级政府“好差评”系统",0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0028,东莞市,2007,visible:early,加快镇、村两级联网道路升级改造,1,0,visible,,,,,visible,visible,visible,visible,3
S0029,烟台市,2012,functional:early,推进4个污水处理厂建设改造，加快电力行业脱硫、脱硝进程,0,1,functional,,,,,functional,functional,functional,functional,3
S0030,宜春市,2021,functional:late,推进长江经济带“共抓大保护”攻坚行动，加强袁河、肖江等主要流域综合治理，持续抓好饮用水水源地保护，完成11个乡镇污水处理设施提标改造，确保水质达标,0,1,functional,,,,,functional,functional,functional,functional,3
S0031,巴彦淖尔市,2012,mixed:early,高标准建设滨河景观大道，实施金川南路、云中大街等12条主次干道建设，配套给排水、供电等基础设施,2,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0032,三明市,2019,functional:late,突出抓好重大基础设施项目建设，加快浦梅铁路、兴泉铁路和莆炎高速公路三明段建设，莆炎高速永泰梧桐至尤溪中仙三明段建成通车，力争开工武夷新区至沙县高速公路三明段，深化3条高速公路联络线和昌厦（福州）高铁、鹰潭经资溪至建宁铁路等项目前期工作，实施安全生态水系、防洪工程、流域综合整治工程等水利项目，抓好海西天然气管网三明段、农村电网改造升级等能源项目，推进三明核电、抽水蓄能发电等项目前期工作,0,2,functional,,,,,mixed,mixed,mixed,mixed,3
S0033,德州市,2003,functional:early,"环城高速、市区供水扩建工程、广电
中心、德州污水处理厂等胜利工：华能电厂三期、德棉特宽福色
织面料、晶华超薄及镀膜玻璃、皇明太阳能热水器等骨干项目建成
投产：新建造公路2492公豆，新增供电能力87.4万千伏安，新
增电话交换机容量89.8万门",0,2,functional,,,,,mixed,mixed,mixed,mixed,3
S0034,漳州市,2006,none:early,加大扶贫开发力度，在资金、项目上扶持老区和少数民族地区加快发展,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0035,丹东市,2009,functional:early,垃圾处理、污水处理、东坎子燃气等工程全面启动,0,1,functional,,,,,functional,functional,functional,functional,3
S0036,徐州市,2009,visible:early,开工建设贾汪至徐州、新城区至铜山新区两条快速通道，推进连接徐海路与新城区的高新路建设，完成徐丰公路、城东大道综合整治,1,0,visible,,,,,visible,visible,visible,visible,3
S0037,张掖市,2011,functional:early,投资800万元埋设排水管道2.6公里，市区地下水位上升问题得到有效治理,0,2,functional,,,,,functional,functional,functional,functional,3
S0038,雅安市,2015,functional:late,开展环境保护大检查，落实行政区域划分环境监管网格化制度，重拳打击环境违法行为,0,1,functional,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0039,秦皇岛市,2019,visible:late,我们要践行法治理念，严格遵守宪法法律，坚持科学、民主立法，依法行政、依法办事，将政府活动全面纳入法治轨道，自觉接受人大法律监督、工作监督和政协民主监督，自觉接受人民群众监督和社会舆论监督，让权力在阳光下运行,1,0,visible,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0040,六安市,2011,none:early,开工建设市图书馆新馆,0,0,irrelevant,,,,,irrelevant,visible,visible,visible,2
S0041,绍兴市,2012,functional:early,城市基础设施和公共服务加快向农村延伸，建成电气化村1800多个、信息化村600多个，实现行政村公交“村村到”、有线电视“村村通”，城镇集中供水覆盖农村人口新增63万人，农村垃圾集中处理行政村覆盖率达97%,0,1,functional,,,,,functional,functional,mixed,functional,2
S0042,上海市,2019,none:late,第三产业增加值占全市生产总值的比重为69.9%，战略性新兴产业的制造业部分产值增速快于全市规模以上工业2.4个百分点,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0043,重庆市,2022,functional:late,开展提升污水“三率”专项行动和“散乱污”企业整治，建设改造城镇排水管网1900公里、新增日污水处理能力27.5万吨，强化大气多污染物协同控制和联防联治，深化中央生态环保督察反馈问题整改，全面淘汰锰行业落后产能，长江干流重庆段水质保持为优，74个国考断面水质优良比例达到98.6%，空气优良天数达到326天、其中优的天数146天，土壤环境质量稳步提升，污染防治攻坚战年度考核为优秀,0,4,functional,,,,,functional,functional,functional,functional,3
S0044,河源市,2015,functional:late,国家西气东输三线、省天然气管网三期、全市天然气主管网、河源电厂二期等工程开展前期工作,0,2,functional,,,,,functional,functional,functional,functional,3
S0045,张家界市,2012,visible:early,"各位代表，""三年有改观五年大变样""建设是一步一个脚印走过来的，既定目标任务绝大多数已经胜利实现，很多指标超额完成，但是，由于国际国内经济环境复杂多变等客观因素影响，旅游总收入、旅游的外向程度、城市绿化率等少数指标还没能达到预期",1,0,visible,,,,,visible,visible,visible,visible,3
S0046,天水市,2005,none:early,完成甘棉厂的破产重组工作,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0047,濮阳市,2017,mixed:late,加强基础设施建设，第三水厂投入运营，市城区新铺设雨污水管线27公里，扩建了第一、第二污水处理厂，新建改造金堤路、香山路等18条道路，优化调整公交线路6条、新增营运车辆200辆，开工建设了6个公共停车场,1,2,mixed,,,,,mixed,mixed,mixed,mixed,3
S0048,鹤岗市,2020,functional:late,老旧管网改造实现新升级,0,1,functional,,,,,functional,functional,functional,functional,3
S0049,杭州市,2022,functional:late,深入实施河（湖）长制，深化“污水零直排区”建设，市控以上断面水质继续保持100%达标,0,1,functional,,,,,functional,functional,functional,functional,3
S0050,中山市,2003,functional:early,以珠江综合整治为契机，全面启动我市水环境综合整治十年规划及水资源综合规划，加快镇区污水处理厂的规划和建设，把我市的水环境保护和水污染治理提高到一个新的水平,0,1,functional,,,,,functional,functional,functional,functional,3
S0051,合肥市,2024,none:late,推广“碳普惠”应用场景，创建绿色家庭、绿色学校、绿色社区，让绿色低碳生活成为新时尚,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0052,漳州市,2008,mixed:early,开工建设零号路、腾飞路西段、大学西路中段、新浦东路、六号路、十三号路、毅达新城西侧南侧道路，续建西环城路、江滨路西延伸段、江滨路防洪堤改造、瑞京路西段、钟法路南段、西洋坪北路，完善城市路网，壮大城市体量,2,1,mixed,,,,,mixed,mixed,visible,mixed,2
S0053,防城港市,2009,functional:early,企沙工业区污水处理厂、自来水厂等重点产业园区项目要尽快开工建设,0,1,functional,,,,,functional,functional,functional,functional,3
S0054,商洛市,2004,mixed:early,城镇 建设完成投资3.07亿元，东新路果蔬批发市场、北 新街道路改造等项目建成，城区供气、供水扩建工 程进展顺利,1,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0055,石嘴山市,2008,mixed:early,已建成的要抓好绿化、美化和污水处理，路网管线没有形成的，要加大投入，尽快满足投资者的要求,3,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0056,吉林市,2018,visible:late,启动广电传媒中心等项目建设，玄天岭文化景观项目竣工,1,0,visible,,,,,visible,visible,visible,visible,3
S0057,娄底市,2005,functional:early,"水利建设要加快双江水库的建设进度，启动城市防洪工 程亚行贷款项目建设，争取白马灌区续建配套与节水改造项目进入国家计划笼子，尽快实施农村安
10
全饮水工程，力争全年完成水利投资1-2亿元",0,1,functional,,,,,functional,functional,functional,functional,3
S0058,湘潭市,2024,none:late,我们将不断健全完善激励和保护担当作为的机制，落实“三个区分开来”，旗帜鲜明为担当者担当、为负责者负责、为干事者撑腰，大力激发党员干部干事创业的动力，持续掀起不折不扣抓落实、雷厉风行抓落实、求真务实抓落实、敢作善为抓落实的实干大热潮,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0059,太原市,2006,visible:early,构筑一流省会城市现代化基础设施框架，加快长风大街东延、滨河东西路南北延、体育路南延进度，实施中环立体快速路、长风大街西延、机场大道、中环桥、学府桥等重点工程，对大同路、南内环东街、胜利街、双塔街等主干道进行拓宽改造，城市道路总里程达到1827公里,2,0,visible,,,,,visible,visible,visible,visible,3
S0060,百色市,2012,none:early,金融改革取得新突破，全市村镇银行达到4家，成为全区村镇银行最多的市,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0061,赤峰市,2008,none:early,利用现有机械制造、延伸加工等非资源产业基础和条件，加快风机组装、矿山机械制造、铸件加工、金属管线生产等项目建设，培育发展非资源型产业,0,0,irrelevant,,,,,irrelevant,irrelevant,functional,irrelevant,2
S0062,赣州市,2010,visible:early,继续抓好红旗大道东延、西出入口道路扩建、赣州监狱整体搬迁、章江新区道路路网等重点项目的续建启动中心城区城市轻轨、新体育中心及配套场馆、南门口交通及周边环境改造等工程的规划编制和建设工作,4,0,visible,,,,,visible,visible,mixed,visible,2
S0063,中山市,2012,visible:early,完善主城区绿道网配套设施，启动镇区绿道建设,2,0,visible,,,,,visible,visible,visible,visible,3
S0064,防城港市,2022,functional:late,实施城市供水旧管网改造工程，开工建设第二水源供水工程,0,3,functional,,,,,functional,functional,functional,functional,3
S0065,沈阳市,2020,visible:late,完善轨道交通体系，确保地铁10号线投入运营，加快建设2号线南延线、3号线和4号线，开工建设1号线东延线和6号线,2,0,visible,,,,,visible,visible,visible,visible,3
S0066,东营市,2024,visible:late,积极推进乡镇国土空间总体规划编制，引导有条件有需求的村庄科学编制村庄规划，加强村庄设计和风貌管控引导,1,0,visible,,,,,visible,visible,visible,visible,3
S0067,常德市,2015,none:late,以诚恳的态度接受监督,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0068,莆田市,2004,functional:early,生态建设和环境保护稳步推进，木兰溪防洪一期工程完成投资1.92亿元，郑坂段防洪工程建设步伐加快，市长环保目标责任制年度任务基本完成,0,2,functional,,,,,functional,functional,functional,functional,3
S0069,湘潭市,2015,functional:late,实施鹤岭地区和杨梅洲供水工程，解决3万余人供水问题,0,2,functional,,,,,functional,functional,functional,functional,3
S0070,鄂尔多斯市,2020,visible:late,坚持完善基础设施和精细化管理并重，实施市政设施项目226个，新增、改造公园绿地826.7万平方米，完成城镇棚户区改造600套,2,0,visible,,,,,visible,visible,mixed,visible,2
S0071,襄阳市,2010,none:early,认真落实节能减排工作责任制,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0072,晋城市,2021,visible:late,加快丹河新城起步区建设，今年投资80亿元实施21个重点项目，商务中心A区主体完工，回迁安置房交付使用，10条道路建成通车，4所学校投入使用，凤栖湖景观提升工程标准段“五一”前完工，实现“路网成、水系成、学校成、配套成、新城初成”,3,0,visible,,,,,visible,visible,visible,visible,3
S0073,海东市,2015,none:late,"以促进农民持续增收为核心，落实 好各项强农惠农政策，加快农业农村基础设施建设，协调推动农
- 16 -
村一二三产业融合发展",0,0,irrelevant,,,,,irrelevant,irrelevant,functional,irrelevant,2
S0074,沈阳市,2024,mixed:late,稳步推动城市有机更新，实施800个老旧小区、309条背街小巷、715公里老旧管网改造，新建口袋公园1000座，新增城区绿地11.3平方公里，世界最大的泵道公园建成开放，我市成为国家级“城市体检双试点”城市,3,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0075,清远市,2018,mixed:late,园区平台加快发展，广清产业园清城片区“三纵三横”路网基本建成，办公、排污等配套设施投入使用，新签约项目51个，累计落地动工项目62个，试（投）产项目26个,1,1,mixed,,,,,mixed,mixed,mixed,mixed,3
S0076,龙岩市,2024,functional:late,探索GEP核算应用，开展排污权、用能权、碳排放权、用水权等有偿使用和转让试点,0,1,functional,,,,,irrelevant,,irrelevant,irrelevant,2
S0077,六盘水市,2012,mixed:early,全面启动城市综合交通、绿化、水系、灯饰“四大系统”建设，切实加强供排水、供电、通讯、供气管网等市政设施及学校、医院、保障性住房、养老服务等功能性设施建设,1,2,mixed,,,,,mixed,,mixed,mixed,2
S0078,四平市,2015,functional:late,加大市区地下管网改造力度，新建改造供热管网 95公里，全面完成 15年以上老旧燃气管网改造任务,0,4,functional,,,,,functional,,functional,functional,2
S0079,阜阳市,2016,mixed:late,进一步加强阜城道路、电力、供水、供气和地下综合管廊建设，加快“三馆一院”建设进度，推进社区文化体育活动中心建设,1,2,mixed,,,,,mixed,,mixed,mixed,2
S0080,重庆市,2014,none:late,"严控政府性债务规模和风险,建立了区县政府债务风险防控机制",0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0081,临沂市,2006,none:early,改革开放向纵深推进,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0082,安顺市,2021,visible:late,挖掘、传承城市传统风貌和历史文脉，盘活文庙、武庙等历史文化遗产，加快历史文化街区建设，打造城市文化地标,1,0,visible,,,,,visible,,visible,visible,2
S0083,通辽市,2024,functional:late,内蒙古供水通辽支线、引绰济辽二期工程全线开工，新建改造高低压线路2180公里，开复工干线公路238公里，建成农村公路240公里，实施公路养护工程996公里，新建5G基站2751个，60%的行政嘎查村实现5G网络覆盖，宜居宜业水平不断提升,0,1,functional,,,,,mixed,,mixed,mixed,2
S0084,沧州市,2018,none:late,各位代表，习近平总书记在党的十九大报告中指出，“历史车轮滚滚向前，时代潮流浩浩荡荡,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0085,通化市,2010,none:early,强力推进中心城市崛起，在构建开发开放新格局上求突破,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0086,南昌市,2014,visible:late,赣江两岸景观亮化提升工程全面完成,2,0,visible,,,,,visible,,visible,visible,2
S0087,鄂州市,2011,visible:early,公路路网方面，确保汉鄂高速、鄂黄高速公路、葛湖公路、316国道、红莲湖高新四路、六路等项目顺利推进,1,0,visible,,,,,visible,,visible,visible,2
S0088,湛江市,2004,visible:early,椹川大道、机场路、东新路、渔港公园和金沙湾观海长廊二期等新建(改造)工程进展顺利,2,0,visible,,,,,visible,,visible,visible,2
S0089,贵阳市,2009,visible:early,实施800公里村寨串户道路硬化工程,1,0,visible,,,,,visible,,visible,visible,2
S0090,福州市,2012,none:early,全市各级财政用于民生支出292.08亿元，占公共财政支出的71.3%,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0091,荆州市,2015,none:late,完善联合审批、联席会议制度，探索项目立项和规划设计联审联办，提高项目审批效率,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0092,黄冈市,2020,none:late,支持红安、麻城、英山、罗田等国家级示范创建，蕲春创建国家中医药健康旅游示范区，支持英山全国森林康养基地试点、黄梅非遗文化旅游区建设,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0093,南平市,2006,mixed:early,"加强高边坡、深基坑建筑管理,: 貫点防范地质灾害，整治8个内涝点/ 加快危旧房改造，改造3处木屋区，启［
'用房，提高经济适用房建设比重‘•开工1 建设南平城区饮用水第：水源＜、继续实: 施畅通、明亮、整洁、绿化工程",1,1,mixed,,,,,mixed,,mixed,mixed,2
S0094,深圳市,2006,visible:early,西部通道和盐田、蛇口、大铲湾等港区新建扩建工程加快推进，“一横八纵”城市干线路网建设顺利实施，城市基础设施不断完善,1,0,visible,,,,,visible,,visible,visible,2
S0095,常德市,2020,functional:late,建设各类水利工程376处，防汛减灾能力得到增强,0,1,functional,,,,,functional,,functional,functional,2
S0096,舟山市,2014,functional:late,深化交通治堵，加快地下空间开发利用，建设东山隧道复线等一批桥隧工程,0,1,functional,,,,,mixed,,mixed,mixed,2
S0097,嘉兴市,2023,none:late,（来自 马克数据网）,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0098,石嘴山市,2006,functional:early,抓好宁夏新材料工业科技园和河滨工业园污水收集主管网及园区内的天然气输送等工程建设,0,2,functional,,,,,functional,,functional,functional,2
S0099,玉溪市,2012,none:early,着力抓好工业园区建设发展,0,0,irrelevant,,,,,irrelevant,,irrelevant,irrelevant,2
S0100,银川市,2014,visible:late,新建10个小微公园，做好街头绿地、小游园的精品化改造，打造“一街一品，一街一景”，让市民亲水近绿、亲近自然,2,0,visible,,,,,visible,,visible,visible,2
S0101,常德市,2006,functional:early,围绕水电路等重点项目，抓好洞庭湖治理和各类水库除险保安，搞好大中型电排更新改造，提高防洪抗灾能力,0,1,functional,,,,,mixed,functional,mixed,mixed,2
S0102,西宁市,2015,none:late,“清凉西宁”旅游品牌知名度和游客满意度进一步提升,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0103,保定市,2010,visible:early,推进市区路网“闭合工程”，建设高速北外环和西二环，规划建设裕华路、东风路、七一路东延和穿京石高速、高铁立交桥，构建环路相接、纵横相联的路网框架，把我市打造成为环京津、环渤海地区东出西联、南北贯通的交通枢纽城市,3,0,visible,,,,,visible,visible,visible,visible,3
S0104,中卫市,2009,mixed:early,七是完成新区供热站扩容，环城东路、公园路中水管网配套和医疗垃圾无害化处理等工程,1,1,mixed,,,,,functional,functional,functional,functional,3
S0105,葫芦岛市,2022,none:late,集中资源聚力招商引资,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0106,内江市,2010,none:early,突出自身特色，发挥比较优势，加大宣传力度，不断扩大“塔罗科血橙”、“资中冬尖”、“老耿酱菜”、“黄老五”、“周萝卜”等品牌知名度,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0107,普洱市,2014,visible:late,促进旅游融合发展，着手编制休闲度假养生产业发展规划，开通边境旅游线路，加快边三县茶祖历史文化旅游项目、中国普洱休闲养生部落、茶马古城、茶马古道遗址公园、澜沧哈列贾乡村音乐小镇等一批重点文化旅游项目建设，推动旅游产业与其它产业深度融合，提高旅游服务质量，强化旅游品牌塑造，着力打造高A级景区，增强普洱旅游核心竞争力,1,0,visible,,,,,irrelevant,visible,visible,visible,2
S0108,重庆市,2004,none:early,加强和改善城市管理,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0109,重庆市,2006,none:early,建立健全国际贸易摩擦预警和应对机制,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0110,云浮市,2024,none:late,做好省市场准入效能评估迎评工作，确保市场准入负面清单制度高质量实施,0,0,irrelevant,,,,,irrelevant,irrelevant,irrelevant,irrelevant,3
S0111,天津市,2015,functional:late,大力推进清水河道行动，综合治理河道16条170公里，建成污水处理厂14座，实现中心城区水系循环流动，主要河道水体质量明显提升,0,1,functional,,,,,functional,functional,functional,functional,3
S0112,昆明市,2009,functional:early,以滇池治理为重点的生态建设力度还需要加大，特别是城市雨污合流问题仍然突出，污水处理设施建设缓慢,0,1,functional,,,,,functional,functional,functional,functional,3
S0113,重庆市,2009,visible:early,"建设主城快速路网,形成轨道交通骨干网络",2,0,visible,,,,,visible,visible,visible,visible,3
S0114,包头市,2021,none:late,加快实施城市更新行动,0,0,irrelevant,,,,,irrelevant,visible,irrelevant,irrelevant,2
S0115,焦作市,2022,visible:late,启动国家生态园林城市创建，高标准编制公园城市专项规划,2,0,visible,,,,,visible,visible,visible,visible,3
S0116,上饶市,2010,functional:early,全面落实强农惠农政策，突出做好防汛抗旱、畜禽防疫、森林防火、农资防假工作，夯实农业安全基础，提升农业安全水平,0,1,functional,,,,,irrelevant,functional,functional,functional,2
S0117,清远市,2014,visible:late,江滨公园等城市提质工程顺利建成,1,0,visible,,,,,visible,visible,visible,visible,3
S0118,南京市,2009,visible:early,"全年植树
—8 —
(C) 1994-2023 China Academic Journal Electronic Publishing House. All rights reserved, http://www.cnki.net
政府工作撤告
造林10.2万亩,城市新增绿地1000多万平方米，人均公共绿地达13.3平方米",2,0,visible,,,,,visible,visible,visible,visible,3
S0119,德阳市,2022,functional:late,推进农村人居环境整治提升五年行动，加强农业面源污染防治，实现农村卫生厕所和生活垃圾收转运处置体系全覆盖，85%以上行政村生活污水得到有效治理,0,1,functional,,,,,functional,functional,functional,functional,3
S0120,商丘市,2022,functional:late,面对多轮强降雨，坚持防汛“金标准”，超前研判，及时调度，实现了全市安全度汛,0,1,functional,,,,,functional,functional,functional,functional,3
S0121,抚顺市,2011,visible:early,新抚区要围绕中央大街改造，加快站前地下广场开发，加快天朗国际广场、东方新天地、万达广场建设，支持浙商国际商贸城、中兴时代广场做大做强，支持高档家居连锁、影视院线及电子信息等新型产业尽快形成规模，打造中央商务区,4,0,visible,,,,,visible,visible,visible,visible,3
S0122,北京市,2013,functional:late,加快推进南水北调及配套工程建设，完成第三水厂、第八水厂改扩建工程，新建改造520公里供水管网，确保2014年长江水调得进、用得上,0,2,functional,,,,,functional,functional,functional,functional,3
S0123,襄阳市,2015,none:late,积极创建国家可再生能源示范城市，大力发展节能建筑，实施大型公共建筑节能改造,0,0,irrelevant,,,,,functional,functional,functional,functional,3
S0124,丹东市,2008,functional:early,提高城市供水、供气、供热、公交运营的服务质量，搞好城市管理安全体系建设,0,1,functional,,,,,mixed,functional,functional,functional,2
S0125,莆田市,2014,none:late,完善防灾减灾体系，加强地震监测跟踪和科普宣传，提高自然灾害防御能力,0,0,irrelevant,,,,,functional,functional,functional,functional,3
